Pr_Kennung,BW_Zuordnung,Alkane_Zuordg,File_name,Name,Sample Group,Acq_Date_Time
12100459,BW_2021_01_15,Alkane_2020_12_14,Sc_12100459_AT_500_IS50.D,Sc_12100459_AT_500_IS50,,1/21/2021 22:02
12100460,BW_2021_01_15,Alkane_2020_12_14,Sc_12100460_AT_500_IS50.D,Sc_12100460_AT_500_IS50,,1/21/2021 22:44
72100121,BW_2021_01_15,Alkane_2020_12_14,Sc_72100121_AT_500_IS50.D,Sc_72100121_AT_500_IS50,,1/21/2021 23:26
BW_2021_01_22,BW_2021_01_22,Alkane_2020_12_14,Sc_BW_2021_01_15b.D,Sc_BW_21_01_14,,1/15/2021 5:47
82101636,BW_2021_01_22,Alkane_2020_12_14,Sc_82101636_gesch_100_IS50.D,Sc_82101636_gesch_100_IS50,,1/22/2021 0:08
82101638,BW_2021_01_22,Alkane_2020_12_14,Sc_82101638_gesch_100_IS50.D,Sc_82101638_gesch_100_IS50,,1/22/2021 0:50
RefPr_0001,BW_2021_02_08,Alkane_2020_12_14,Sc_BW_2021_02_08_1L_geschAblSCH_vom8.1.D,ScBW_1L_geschAblSCH_vom8.1.,,2/8/2021 21:04
62100315,BW_2021_02_08,Alkane_2020_12_14,Sc_62100315_1L_AblSCH_gesch.D,Sc62100315_1L_AblSCH_gesch,,2/8/2021 21:46
BW_2021_02_08,BW_2021_02_08,Alkane_2020_12_14,Sc_BW_2021_02_08_500ml_LWgesch.D,ScBW_500ml_LWgesch,,2/8/2021 22:28
BW_2021_02_15,BW_2021_02_15,Alkane_2021_03_11,Sc_BW_2021_02_15_500_AT_IS50.D,ScBW_500_AT_IS50_2021_02_11,,2/15/2021 17:27
42101145,BW_2021_02_15,Alkane_2021_03_11,Sc_42101145_500_AT_IS50.D,Sc42101145_500_AT_IS50,,2/15/2021 18:09
42101146,BW_2021_02_15,Alkane_2021_03_11,Sc_42101146_500_AT_IS50.D,Sc42101146_500_AT_IS50,,2/15/2021 18:51
BW_2021_02_08_2,BW_2021_02_08_2,Alkane_2021_03_11,Sc_BW_2021_02_08_500ml_LWgesch.D,ScBW_500ml_LWgesch,,2/8/2021 22:28
82101721,BW_2021_02_08,Alkane_2021_03_11,Sc_82101721_100_gesch_IS50.D,Sc82101721_100_gesch_IS50,,2/15/2021 19:32
82101720,BW_2021_02_08,Alkane_2021_03_11,Sc_82101720_100_v10_gesch_IS50.D,Sc82101720_100_v10_gesch_IS50,,2/15/2021 20:55
BW_2021_02_22,BW_2021_02_22,Alkane_2020_12_14,Sc_BW_2021_02_22_500_50IS_AT.D,Sc_BW_500_50IS_AT_2202,,2/22/2021 16:43
72100318,BW_2021_02_22,Alkane_2020_12_14,Sc_72100318_500_50IS_AT.D,Sc_72100318_500_50IS_AT,,2/22/2021 17:25
62100459,BW_2021_02_22,Alkane_2020_12_14,Sc_62100459_500_50IS_AT.D,Sc_62100459_500_50IS_AT,,2/22/2021 18:06
BW_2021_03_15,BW_2021_03_15,Alkane_2021_03_11,Sc_BW_2021_03_15_500ml_AT.D,Sc_BW_2021_03_15_500ml_AT,,3/18/2021 21:45
62100748,BW_2021_03_15,Alkane_2021_03_11,Sc_62100748_500mlL_AT.D,Sc_62100748_500mlL_AT,,3/18/2021 22:27
72100530,BW_2021_03_15,Alkane_2021_03_11,Sc_72100530_500mlL_AT.D,Sc_72100530_500mlL_AT,,3/18/2021 23:09
42102338,BW_2021_03_15,Alkane_2021_03_11,Sc_42102338_500mlL_AT.D,Sc_42102338_500mlL_AT,,3/18/2021 23:51
42102340,BW_2021_03_15,Alkane_2021_03_11,Sc_42102340_500mlL_AT.D,Sc_42102340_500mlL_AT,,3/19/2021 0:33
BW_2021_03_15_2,BW_2021_03_15_2,Alkane_2021_03_11,Sc_BW_2021_03_15_500ml_gesch.D,Sc_BW_2021_03_15_500ml_gesch,,3/19/2021 1:15
82101928,BW_2021_03_15_2,Alkane_2021_03_11,Sc_82101928_100ml_gesch.D,Sc_82101928_100ml_gesch,,3/19/2021 1:57
BW_2021_03_15_3,BW_2021_03_15_3,Alkane_2021_03_11,Sc_2021_03_15_DCMnach8erProbe.D,Sc_2021_03_15_DCMnach8erProbe,,3/19/2021 2:39
12102268,BW_2021_03_15,Alkane_2021_03_11,Sc_12102268_500mlL_AT.D,Sc_12102268_500mlL_AT,,3/19/2021 10:33
BW_2021_03_22,BW_2021_03_22,Alkane_2021_03_11,Sc_BW_2021_03_22_1L_gesch.D,Sc_BW_2021_03_22_1L_gesch,,3/22/2021 15:22
32103174,BW_2021_03_22,Alkane_2021_03_11,Sc_32103174_1L_gesch.D,Sc_32103174_1L_gesch,,3/22/2021 16:04
32103175,BW_2021_03_22,Alkane_2021_03_11,Sc_32103175_1L_gesch.D,Sc_32103175_1L_gesch,,3/22/2021 16:45
LC_Mix4_100,BW_2021_03_22,Alkane_2021_03_11,Sc_LC_Mix4_100_500mlL_gesch.D,Sc_LC_Mix4_100_500mlL_gesch,,3/22/2021 17:27
LC_Mix4_200,BW_2021_03_22,Alkane_2021_03_11,Sc_LC_Mix4_200_500mlL_gesch.D,Sc_LC_Mix4_200_500mlL_gesch,,3/22/2021 18:09
BW_2021_03_22_2,BW_2021_03_22,Alkane_2021_03_11,Sc_BW_2021_03_22_500L_gesch.D,Sc_BW_2021_03_22_500L_gesch,,3/22/2021 18:50
82101929,BW_2021_03_22_2,Alkane_2021_03_11,Sc_82101929_100ml_gesch.D,Sc_82101929_100ml_gesch,,3/22/2021 19:32
Alkane_2021_04_15,BW_2021_04_12,,Sc_AlkaneC10_28_2021_04_15.D,Sc_AlkaneC10_28_2021_04_15,,4/19/2021 14:00
BW_2021_04_12,BW_2021_04_12,Alkane_2021_04_15,Sc_BW_2021_04_12_500mL_AT.D,Sc_BW_2021_04_12_500mL_AT,,4/19/2021 14:47
12102914,BW_2021_04_12,Alkane_2021_04_15,Sc_12102914_500mL_AT.D,Sc_12102914_500mL_AT,,4/19/2021 15:33
72100736,BW_2021_04_12,Alkane_2021_04_15,Sc_72100736_500mL_AT.D,Sc_72100736_500mL_AT,,4/19/2021 16:20
BW_2021_04_15,BW_2021_04_15,Alkane_2021_04_15,Sc_BW_2021_04_15_500mL_AT.D,Sc_BW_2021_04_15_500mL_AT,,4/19/2021 17:06
12102940,BW_2021_04_15,Alkane_2021_04_15,Sc_12102940_500mL_AT.D,Sc_12102940_500mL_AT,,4/19/2021 17:53
BW_2021_04_15_2,BW_2021_04_15_2,Alkane_2021_04_15,Sc_BW_2021_04_15_1L_AT.D,Sc_BW_2021_04_15_1L_AT,,4/19/2021 19:26
BW_2021_04_15_3,BW_2021_04_15_3,Alkane_2021_04_15,Sc_BW_2021_04_15_500mL_gesch.D,Sc_BW_2021_04_15_500mL_gesch,,4/20/2021 3:12
82102189,BW_2021_04_15_3,Alkane_2021_04_15,Sc_82102189_100mL_gesch.D,Sc_82102189_100mL_gesch,,4/20/2021 3:59
82102185,BW_2021_04_15_3,Alkane_2021_04_15,Sc_82102185_100mL_gesch.D,Sc_82102185_100mL_gesch,,4/20/2021 4:45
BW_2021_04_28,BW_2021_04_28,Alkane_2021_04_28,Sc_BW_2021_04_28_AT_500ml.D,Sc_BW_2021_04_28_AT_500ml,,4/29/2021 20:26
42103368,BW_2021_04_28,Alkane_2021_04_28,Sc_42103368_AT_500ml.D,Sc_42103368_AT_500ml,,4/29/2021 21:12
42103369,BW_2021_04_28,Alkane_2021_04_28,Sc_42103369_AT_500ml.D,Sc_42103369_AT_500ml,,4/29/2021 21:59
62101073,BW_2021_04_28,Alkane_2021_04_28,Sc_62101073_AT_500ml.D,Sc_62101073_AT_500ml,,4/29/2021 22:46
82102190,BW_2021_04_15_3,Alkane_2021_04_28,Sc_82102190_gesch_100ml.D,Sc_82102190_gesch_100ml,,4/30/2021 0:19
PAK_100_0001,BW_2021_05_03,Alkane_2021_04_28,Sc_PAK_100.D,Sc_PAK_100,,5/6/2021 12:02
Alkane_2021_05_06,BW_2021_05_03,,Sc_Alkane_2021_05_06.D,Sc_Alkane_2021_05_06,,5/6/2021 12:49
BW_2021_05_03,BW_2021_05_03,Alkane_2021_05_06,Sc_BW_2021_05_03_AT_1L_ETAC.D,Sc_BW_2021_05_03_AT_1L_ETAC,,5/11/2021 12:32
32105026,BW_2021_05_03,Alkane_2021_05_06,Sc_32105026_AT_1L_ETAC.D,Sc_32105026_AT_1L_ETAC,,5/11/2021 13:18
32105027,BW_2021_05_03,Alkane_2021_05_06,Sc_32105027_AT_1L_ETAC.D,Sc_32105027_AT_1L_ETAC,,5/11/2021 14:05
62101073_2,BW_2021_05_06,Alkane_2021_05_06,Sc_62101073_AT_500ml_ETAC_Whg.D,Sc_62101073_AT_500ml_ETAC_Whg,,5/11/2021 14:51
BW_2021_05_06,BW_2021_05_06,Alkane_2021_05_06,Sc_BW_2021_05_06_AT_500mL_ETAC.D,Sc_BW_2021_05_06_AT_500mL_ETAC,,5/11/2021 15:38
12103707,BW_2021_05_06,Alkane_2021_05_06,Sc_12103707_AT_500ml_ETAC.D,Sc_12103707_AT_500ml_ETAC,,5/11/2021 16:25
42104170,BW_2021_05_06,Alkane_2021_05_06,Sc_42104170_AT_500ml_ETAC.D,Sc_42104170_AT_500ml_ETAC,,5/11/2021 17:11
42104171,BW_2021_05_06,Alkane_2021_05_06,Sc_42104171_AT_500ml_ETAC.D,Sc_42104171_AT_500ml_ETAC,,5/11/2021 17:58
Alkane_2021_05_11,BW_2021_05_06,,Sc_Alkane_2021_05_11.D,Sc_Alkane_2021_05_11,,5/11/2021 18:45
CKW100_0001,BW_2021_05_06,Alkane_2021_05_11,Sc_CKW100_2021_05_11.D,Sc_CKW100_2021_05_11,,5/11/2021 19:31
BW_2021_04_28,BW_2021_05_06,Alkane_2021_05_11,Sc_BW_2021_04_28_AT_500mL_DCM.D,Sc_BW_2021_04_28_AT_500mL_DCM,,5/11/2021 20:18
Alkane_2021_05_20,BW_2021_05_20,,Sc_2021_05_20_Alkane_AT_1L_ETAC.D,Sc_Alkane_2021_05_20AT_1l_ETAC,,5/25/2021 12:05
BW_2021_05_20,BW_2021_05_20,Alkane_2021_05_25,Sc_BW_2021_05_20_AT_500mL_ETAC.D,Sc_BW_2021_05_20_AT_500mL_ETAC,,5/25/2021 12:51
62101303,BW_2021_05_20,Alkane_2021_05_25,Sc_62101303_AT_500mL_ETAC.D,Sc_62101303_AT_500mL_ETAC,,5/25/2021 13:38
72101014,BW_2021_05_20,Alkane_2021_05_25,Sc_72101014_AT_500mL_ETAC.D,Sc_72101014_AT_500mL_ETAC,,5/25/2021 14:24
Alkane_2021_05_20_2,BW_2021_05_20,,Sc_2021_05_20_Alkane2_AT_1L_ETAC.D,Sc_Alkane_2021_05_20AT_1l_ETAC,,5/25/2021 15:11
BW_2021_05_20_2,BW_2021_05_20,Alkane_2021_05_20_2,Sc_BW_2021_05_20_ATb_500mL_ETAC.D,Sc_BW_2021_05_20_AT_500mL_ETAC,,5/25/2021 15:58
Alkane_2021_05_25,BW_2021_05_20,,Sc_2021_05_25_Alkane_DCM.D,Sc_Alkane_2021_05_25_DCM,,5/25/2021 16:44
BW_2021_05_20_3,BW_2021_05_20_3,Alkane_2021_05_20,Sc_BW_2021_05_20_gesch_500mL_DCM.D,Sc_BW_2021_05_20_gesch_500mL_DCM,,5/25/2021 17:31
82101632,BW_2021_05_20_3,Alkane_2021_05_20,Sc_82101632_100ml_gesch_DCM_v35_ISzu.D,Sc_82101632_100ml_gesch_DCM_v35_ISzu,,5/25/2021 18:17
42103367,BW_2021_05_20_3,Alkane_2021_05_20,Sc_42103367_100ml_gesch_DCM.D,Sc_42103367_100ml_gesch_DCM,,5/25/2021 19:04
BW_2021_06_06,BW_2021_06_06,Alkane_2021_06_09,Sc_BW_2021_06_06_500ml_AT_ETAC.D,Sc_BW_2021_06_06_500ml_AT_ETAC,,6/9/2021 17:27
12104438,BW_2021_06_06,Alkane_2021_06_09,Sc_12104438_500ml_AT_ETAC.D,Sc_12104438_500ml_AT_ETAC,,6/9/2021 18:14
BW_2021_06_06_2,BW_2021_06_06_2,Alkane_2021_06_09,Sc_BW_2021_06_06_500ml_gesch_DCMneu.D,Sc_BW_2021_06_06_500ml_gesch_DCMneu,,6/9/2021 21:24
82102231,BW_2021_06_06_2,Alkane_2021_06_09,Sc_82102231_100ml_gesch_V10in250ul.D,Sc_82102231_100ml_gesch_V10in250ul,,6/9/2021 22:11
BW_2021_06_06_3,BW_2021_06_06_2,Alkane_2021_06_09,Sc_BW_2021_06_06_500ml_gesch_DCMalt.D,Sc_BW_2021_06_06_500ml_gesch_DCMalt,,6/9/2021 22:59
82102230,BW_2021_06_06_2,Alkane_2021_06_09,Sc_82102230_100ml_gesch_V100.D,Sc_82102230_100ml_gesch_V100,,6/9/2021 23:47
Alkane_2021_06_17,BW_2021_06_15,,Sc_2021_06_17_Alkane_ETAC.D,Sc_Alkane_2021_06_17_ETAC,,6/17/2021 10:43
BW_2021_06_15,BW_2021_06_15,Alkane_2021_06_17,Sc_BW_2021_06_15_500ml_AT_ETAC.D,Sc_BW_2021_06_15_500ml_AT_ETAC,,6/17/2021 11:29
12104484,BW_2021_06_15,Alkane_2021_06_17,Sc_12104484_500ml_AT_ETAC.D,Sc_12104484_500ml_AT_ETAC,,6/17/2021 12:16
42105162,BW_2021_06_15,Alkane_2021_06_17,Sc_42105162_500ml_AT_ETAC.D,Sc_42105162_500ml_AT_ETAC,,6/17/2021 13:02
42105164,BW_2021_06_15,Alkane_2021_06_17,Sc_42105164_500ml_AT_ETAC.D,Sc_42105164_500ml_AT_ETAC,,6/17/2021 13:49
62101589,BW_2021_06_15,Alkane_2021_06_17,Sc_62101589_500ml_AT_ETAC.D,Sc_62101589_500ml_AT_ETAC,,6/17/2021 14:36
Alkane_2021_06_17_2,BW_2021_06_15,,Sc_2021_06_17_Alkane_DCM.D,Sc_Alkane_2021_06_17_DCM,,6/17/2021 15:22
BW_2021_06_23,BW_2021_06_23,Alkane_2021_07_19,Sc_BW_2021_06_23_500ml_AT_ETAC.D,Sc_BW_2021_06_23_500ml_AT_ETAC,,7/19/2021 14:56
72101388,BW_2021_06_23,Alkane_2021_07_19,Sc_72101388_500ml_AT_ETAC.D,Sc_72101388_500ml_AT_ETAC,,7/19/2021 15:43
BW_2021_07_13,BW_2021_07_13,Alkane_2021_07_19,Sc_BW_2021_07_13_500ml_AT_ETAC.D,Sc_BW_2021_07_13_500ml_AT_ETAC,,7/19/2021 16:29
42106087,BW_2021_07_13,Alkane_2021_07_19,Sc_42106087_500ml_AT_ETAC.D,Sc_42106087_500ml_AT_ETAC,,7/19/2021 17:16
72101595,BW_2021_07_13,Alkane_2021_07_19,Sc_72101595_500ml_AT_ETAC.D,Sc_72101595_500ml_AT_ETAC,,7/19/2021 18:03
12105244,BW_2021_07_13,Alkane_2021_07_19,Sc_12105244_500ml_AT_ETAC.D,Sc_12105244_500ml_AT_ETAC,,7/19/2021 18:49
62101901,BW_2021_07_13,Alkane_2021_07_19,Sc_62101901_500ml_AT_ETAC.D,Sc_62101901_500ml_AT_ETAC,,7/19/2021 19:36
42106086,BW_2021_07_13,Alkane_2021_07_19,Sc_42106086_500ml_AT_ETAC.D,Sc_42106086_500ml_AT_ETAC,,7/19/2021 20:22
12105269,BW_2021_07_13,Alkane_2021_07_19,Sc_12105269_500ml_AT_ETAC.D,Sc_12105269_500ml_AT_ETAC,,7/19/2021 21:09
Alkane_2021_07_19,BW_2021_07_13,,Sc_2021_07_19_Alkane_ETAC.D,Sc_Alkane_2021_07_19_ETAC,,7/19/2021 21:55
BW_2021_08_09,BW_2021_08_09,Alkane_2021_08_09,Sc_BW_2021_08_09_500ml_AT_ETAC.D,Sc_BW_2021_08_09_500ml_AT_ETAC,,8/9/2021 14:36
12106378,BW_2021_08_09,Alkane_2021_08_09,Sc_12106378_500ml_AT_ETAC.D,Sc_12106378_500ml_AT_ETAC,,8/9/2021 15:23
12106392,BW_2021_08_09,Alkane_2021_08_09,Sc_12106392_500ml_AT_ETAC.D,Sc_12106392_500ml_AT_ETAC,,8/9/2021 16:09
42107372,BW_2021_08_09,Alkane_2021_08_09,Sc_42107372_500ml_AT_ETAC.D,Sc_42107372_500ml_AT_ETAC,,8/9/2021 16:56
42107374,BW_2021_08_09,Alkane_2021_08_09,Sc_42107374_500ml_AT_ETAC.D,Sc_42107374_500ml_AT_ETAC,,8/9/2021 17:42
Alkane_2021_08_09,BW_2021_08_09,,Sc_2021_08_09_Alkane_ETAC.D,Sc_Alkane_2021_08_09_ETAC,,8/9/2021 18:29
BW_2021_08_16,BW_2021_08_16,Alkane_2021_08_16,Sc_BW_2021_08_16_500ml_AT_ETAC.D,Sc_BW_2021_08_16_500ml_AT_ETAC,,8/16/2021 12:05
62102470,BW_2021_08_16,Alkane_2021_08_16,Sc_72102029_500ml_AT_ETAC.D,Sc_72102029_500ml_AT_ETAC,,8/16/2021 12:52
72102029,BW_2021_08_16,Alkane_2021_08_16,Sc_62102470_500ml_AT_ETAC.D,Sc_62102470_500ml_AT_ETAC,,8/16/2021 13:38
Alkane_2021_08_16,BW_2021_08_16,,Sc_2021_08_16_Alkane_ETAC.D,Sc_Alkane_2021_08_16_ETAC,,8/16/2021 14:25
BW_2021_09_16,BW_2021_09_16,Alkane_2021_09_16,Sc_BW_2021_09_16_500ml_AT_ETAC.D,Sc_BW_2021_09_16_500ml_AT_ETAC,,9/16/2021 15:48
12107184,BW_2021_09_16,Alkane_2021_09_16,Sc_12107184_500ml_AT_ETAC.D,Sc_12107184_500ml_AT_ETAC,,9/16/2021 16:35
12107185,BW_2021_09_16,Alkane_2021_09_16,Sc_12107185_500ml_AT_ETAC.D,Sc_12107185_500ml_AT_ETAC,,9/16/2021 17:22
42108410,BW_2021_09_16,Alkane_2021_09_16,Sc_42108410_500ml_AT_ETAC.D,Sc_42108410_500ml_AT_ETAC,,9/16/2021 18:08
42108412,BW_2021_09_16,Alkane_2021_09_16,Sc_42108412_500ml_AT_ETAC.D,Sc_42108412_500ml_AT_ETAC,,9/16/2021 18:55
62102735,BW_2021_09_16,Alkane_2021_09_16,Sc_62102735_500ml_AT_ETAC.D,Sc_62102735_500ml_AT_ETAC,,9/16/2021 19:41
72102278,BW_2021_09_16,Alkane_2021_09_16,Sc_72102278_500ml_AT_ETAC.D,Sc_72102278_500ml_AT_ETAC,,9/16/2021 20:28
Alkane_2021_09_16,BW_2021_09_16,,Sc_2021_09_16_Alkane_ETAC.D,Sc_Alkane_2021_09_16_ETAC,,9/16/2021 21:15
Alkane_2021_09_28,BW_2021_09_16,,Sc_2021_09_28_Alkane_ETAC.D,Sc_nAlkane_2021_09_27,,9/29/2021 3:44
Alkane_2021_10_07,BW_2021_09_16,,Sc_2021_10_07_Alkane_ETAC.D,Sc_nAlkane_2021_10_07,,10/7/2021 19:40
BW_2021_11_04,BW_2021_11_04,Alkane_2021_11_04,Sc_BW_2021_11_04_500ml_AT_ETAC.D,Sc_BW_2021_11_04_500ml_AT_ETAC,,11/4/2021 13:28
12108253,BW_2021_11_04,Alkane_2021_11_04,Sc_12108253_500ml_AT_ETAC.D,Sc_12108253_500ml_AT_ETAC,,11/4/2021 14:15
12108254,BW_2021_11_04,Alkane_2021_11_04,Sc_12108254_500ml_AT_ETAC.D,Sc_12108254_500ml_AT_ETAC,,11/4/2021 15:01
42109263,BW_2021_11_04,Alkane_2021_11_04,Sc_42109263_500ml_AT_ETAC.D,Sc_42109263_500ml_AT_ETAC,,11/4/2021 15:48
42109264,BW_2021_11_04,Alkane_2021_11_04,Sc_42109264_500ml_AT_ETAC.D,Sc_42109264_500ml_AT_ETAC,,11/4/2021 16:34
62103211,BW_2021_11_04,Alkane_2021_11_04,Sc_62103211_500ml_AT_ETAC.D,Sc_62103211_500ml_AT_ETAC,,11/4/2021 17:21
72102609,BW_2021_11_04,Alkane_2021_11_04,Sc_72102609_500ml_AT_ETAC.D,Sc_72102609_500ml_AT_ETAC,,11/4/2021 18:08
Alkane_2021_11_04,BW_2021_11_04,,Sc_2021_11_04_Alkane_ETAC.D,Sc_Alkane_2021_11_04_ETAC,,11/4/2021 18:54
BW_2021_11_24,BW_2021_11_24,Alkane_2021_11_24,Sc_BW_2021_11_24_500ml_AT_ETAC.D,Sc_BW_2021_11_24_500ml_AT_ETAC,,11/24/2021 14:51
12109741,BW_2021_11_24,Alkane_2021_11_24,Sc_12109741_500ml_AT_ETAC.D,Sc_12109741_500ml_AT_ETAC,,11/24/2021 15:37
12109812,BW_2021_11_24,Alkane_2021_11_24,Sc_12109812_500ml_AT_ETAC.D,Sc_12109812_500ml_AT_ETAC,,11/24/2021 16:23
62103501,BW_2021_11_24,Alkane_2021_11_24,Sc_62103501_500ml_AT_ETAC.D,Sc_62103501_500ml_AT_ETAC,,11/24/2021 17:10
72102861,BW_2021_11_24,Alkane_2021_11_24,Sc_72102861_500ml_AT_ETAC.D,Sc_72102861_500ml_AT_ETAC,,11/24/2021 17:56
Alkane_2021_11_24,BW_2021_11_24,,Sc_2021_11_24_Alkane_ETAC.D,Sc_Alkane_2021_11_04_ETAC,,11/24/2021 18:43
BW_2021_12_01,BW_2021_12_01,Alkane_2021_12_01,Sc_BW_2021_12_01_500ml_AT_ETAC.D,Sc_BW_2021_12_01_500ml_AT_ETAC,,12/2/2021 13:21
42110805,BW_2021_12_01,Alkane_2021_12_01,Sc_42110805_500ml_AT_ETAC.D,Sc_42110805_500ml_AT_ETAC,,12/2/2021 14:07
42110806,BW_2021_12_01,Alkane_2021_12_01,Sc_42110806_500ml_AT_ETAC.D,Sc_42110806_500ml_AT_ETAC,,12/2/2021 14:54
Alkane_2021_12_01,BW_2021_12_01,,Sc_2021_12_01_Alkane_ETAC.D,Sc_Alkane_2021_12_01_ETAC,,12/2/2021 15:41
BW_2021_12_09,BW_2021_12_09,Alkane_2021_12_09,* Sc_BW_2021_12_09_500ml_AT_ETAC.D,Sc_BW_2021_12_09_500ml_AT_ETAC,,12/9/2021 13:04
42111146,BW_2021_12_09,Alkane_2021_12_09,* Sc_42111146_500ml_AT_ETAC.D,Sc_42111146_500ml_AT_ETAC,,12/9/2021 13:51
42111147,BW_2021_12_09,Alkane_2021_12_09,* Sc_42111147_500ml_AT_ETAC.D,Sc_42111147_500ml_AT_ETAC,,12/9/2021 14:37
BW_2021_12_15,BW_2021_12_15,Alkane_2021_12_15,Sc_BW_2021_12_15_500ml_AT_ETAC.D,Sc_BW_2021_12_15_500ml_AT_ETAC,,12/15/2021 15:08
12110788,BW_2021_12_15,Alkane_2021_12_15,Sc_12110788_500ml_AT_ETAC.D,Sc_12110788_500ml_AT_ETAC,,12/15/2021 15:54
12110791,BW_2021_12_15,Alkane_2021_12_15,Sc_12110791_500ml_AT_ETAC.D,Sc_12110791_500ml_AT_ETAC,,12/15/2021 16:41
62103752,BW_2021_12_15,Alkane_2021_12_15,Sc_62103752_500ml_AT_ETAC.D,Sc_62103752_500ml_AT_ETAC,,12/15/2021 17:27
72103119,BW_2021_12_15,Alkane_2021_12_15,Sc_72103119_500ml_AT_ETAC.D,Sc_72103119_500ml_AT_ETAC,,12/15/2021 18:14
BW_2022_01_18,BW_2022_01_18,Alkane_2022_01_18,Sc_BW_2022_01_18_500ml_AT_ETAC.D,Sc_BW_2022_01_18_500ml_AT_ETAC,,1/18/2022 15:07
62200123,BW_2022_01_18,Alkane_2022_01_18,Sc_62200123_500ml_AT_ETAC.D,Sc_46600123_500ml_AT_ETAC,,1/18/2022 15:54
72200169,BW_2022_01_18,Alkane_2022_01_18,Sc_72200169_500ml_AT_ETAC.D,Sc_72200169_500ml_AT_ETAC,,1/18/2022 16:40
BW_2022_02_07_w1,BW_2022_02_07_w1,Alkane_2022_02_07,* Sc_w_BW_2020_12_08_1000ml_AT_DCM.D,Sc_w_BW_2020_12_08_1000ml_AT_DCM,,2/7/2022 14:58
42008477_w,BW_2022_02_07_w1,Alkane_2022_02_07,* Sc_w_42008477_AT_DCM.D,Sc_w_42008477_AT_DCM,,2/7/2022 15:45
42008478_w,BW_2022_02_07_w1,Alkane_2022_02_07,* Sc_w_42008478_AT_DCM.D,Sc_w_42008478_AT_DCM,,2/7/2022 16:31
12011647_w,BW_2022_02_07_w1,Alkane_2022_02_07,* Sc_w_12011647_500ml_AT_DCM.D,Sc_w_12011647_500ml_AT_DCM,,2/7/2022 17:18
62005831_w,BW_2022_02_07_w1,Alkane_2022_02_07,* Sc_w_62005831_1L_AT_DCM.D,Sc_w_62005831_1L_AT_DCM,,2/7/2022 18:04
